# 云笺破读词表 —— 项目自有，逐行公有领域依据。
#
# 为什么必须自己写：引擎自带的 G2P 是现代普通话 G2P，不会产出古典读音；而不存在一部
# 授权允许随包分发的现代权威读音辞书（见 .omo 方案 A8）。所以每一行的读音都只能自公有
# 领域韵书推得，**绝不从现代词典转录**。依据列因此是硬约束，不是注释。
#
# 列：字 <TAB> context <TAB> pinyin <TAB> 依据 <TAB> confidence
#   context      句片段，用于把读音限定在语境里；`*` 表示不限语境。
#   pinyin       带调拼音；`-` 表示本行只登记处置、不覆写读音。
#   依据         必须同时含卷次/部次定位符与所据版本，与集评 source_note 同一标准。
#   confidence   rhyme_attested 韵部实证 | tone_split 韵书调类分工 | engine_default 不覆写
#
# 依据列里的韵部不是写手记忆，是自 corpus.db 逐字读出的，可复现：
#   SELECT rhyme_book, tone_raw, rhyme_group FROM rhyme WHERE character = ?;
# 底本为 charlesix59/chinese_word_rhyme 锁定版（corpus/sources.toml 记许可与摘要），
# 其 underlying_work 为公有领域的《平水韵》与《词林正韵》（清 戈载，1821）。
#
# engine_default 是**处置台账**而不是占位。它有两种真实理由，逐字判定而非统一措辞：
#   (a) 该字在本名册里不居韵脚位 —— 韵书给不出可据的约束，按 README 的约定回落到
#       引擎默认读音；
#   (b) 该字居韵脚位 —— 韵书确实把它限定在某几部之内，但「由韵部推定具体拼音」还需要
#       一张逐部对音表，v1 没有落地那张表，所以老实不覆写，而不是猜一个拼音填上。
# 少一个多音字，覆盖闭合检查就会失败。这正是我们要的：漏掉必须被看见，不能静默通过。
#
# v1 覆盖范围（诚实声明）：覆盖 data/reading_roster.tsv 列出的 22 首。**不是**唐诗三百首
# 与宋词三百首的完整覆盖 —— 那两个选本的收录名单在本仓库里并不存在（corpus.db 的
# poem_tag 表为空，且 sources.toml 没有宋词三百首资产），详见 reading_roster.tsv 的说明。
字	context	pinyin	依据	confidence
还	*	-	《平水韵》下平声部 一先、上平声部 十五删；《词林正韵》平声 第七部，韵部兼收（韵类两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字居韵脚位，韵书证据把它限定在上列诸部之内，但由韵部推定具体拼音尚需逐部对音表，本表 v1 未落地该表，故暂不覆写。	engine_default
三	*	-	《平水韵》去声部 二十八勘、下平声部 十三覃；《词林正韵》仄声 第十四部、平声 第十四部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
上	*	-	《平水韵》去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
下	*	-	《平水韵》上声部 二十一马、去声部 二十二祃；《词林正韵》仄声 第十部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
不	*	-	《平水韵》入声部 入声五物、下平声部 十一尤；《词林正韵》平声 第十二部、入声 第十八部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
两	*	-	《平水韵》去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
为	*	-	《平水韵》去声部 四寘、上平声部 四支；《词林正韵》仄声 第三部、平声 第三部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
乎	*	-	《平水韵》上平声部 七虞；《词林正韵》入声 第十八部、平声 第四部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
乘	*	-	《平水韵》去声部 二十五径、下平声部 十蒸；《词林正韵》仄声 第十一部、平声 第十一部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
于	*	-	《平水韵》上平声部 七虞、上平声部 六鱼；《词林正韵》平声 第四部，韵部兼收（韵类两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
从	*	-	《平水韵》上平声部 二冬、去声部 二宋；《词林正韵》仄声 第一部、平声 第一部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
但	*	-	《平水韵》去声部 十五翰、上声部 十四旱；《词林正韵》仄声 第七部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
使	*	-	《平水韵》去声部 四寘、上声部 四纸；《词林正韵》仄声 第三部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
儿	*	-	《平水韵》入声部 入声三觉、上平声部 八齐、上平声部 四支；《词林正韵》平声 第三部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
共	*	-	《平水韵》上平声部 二冬、去声部 二宋；《词林正韵》仄声 第一部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
几	*	-	《平水韵》上声部 五尾、上平声部 五微、去声部 四寘、上声部 四纸；《词林正韵》仄声 第三部、平声 第三部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
去	*	-	《平水韵》去声部 六御、上声部 六语；《词林正韵》仄声 第四部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
只	*	-	《平水韵》入声部 入声十一陌、上平声部 四支、上声部 四纸；《词林正韵》仄声 第三部、入声 第十七部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
吁	*	-	《平水韵》上平声部 七虞、去声部 七遇；《词林正韵》平声 第四部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
唯	*	-	《平水韵》上平声部 四支、上声部 四纸；《词林正韵》平声 第三部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
噫	*	-	《平水韵》去声部 十卦、上平声部 四支；《词林正韵》平声 第三部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
回	*	-	《平水韵》去声部 十一队、上平声部 十灰；《词林正韵》平声 第三部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
国	*	-	《平水韵》入声部 入声一屋、入声部 入声十三职；《词林正韵》入声 第十七部、入声 第十五部，韵部兼收（韵类两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
在	*	-	《平水韵》去声部 十一队、上声部 十贿；《词林正韵》仄声 第五部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
坐	*	-	《平水韵》去声部 二十一个、上声部 二十哿；《词林正韵》仄声 第九部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
垒	*	-	《平水韵》入声部 入声四质、上平声部 十灰、上声部 四纸；《词林正韵》仄声 第三部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
塞	*	-	《平水韵》入声部 入声十三职、去声部 十一队；《词林正韵》仄声 第五部、入声 第十七部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
处	*	-	《平水韵》去声部 六御、上声部 六语；《词林正韵》仄声 第四部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
复	*	-	《平水韵》去声部 二十六宥、入声部 入声一屋；《词林正韵》仄声 第十二部、入声 第十五部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
外	*	-	《平水韵》去声部 九泰；《词林正韵》仄声 第三部、仄声 第五部，韵部兼收（韵类两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
大	*	-	《平水韵》去声部 九泰、去声部 二十一个；《词林正韵》仄声 第九部、仄声 第五部，韵部兼收（韵类两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
好	*	-	《平水韵》去声部 二十号、上声部 十九皓；《词林正韵》仄声 第八部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
妃	*	-	《平水韵》上平声部 五微、去声部 十一队；《词林正韵》平声 第三部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
将	*	-	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
少	*	-	《平水韵》上声部 十七筱、去声部 十八啸；《词林正韵》仄声 第八部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
屠	*	-	《平水韵》上平声部 七虞、上平声部 六鱼；《词林正韵》平声 第四部，韵部兼收（韵类两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
帆	*	-	《平水韵》去声部 三十陷、下平声部 十五咸；《词林正韵》平声 第十四部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
平	*	-	《平水韵》下平声部 一先、下平声部 八庚；《词林正韵》平声 第十一部，韵部兼收（韵类两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
度	*	-	《平水韵》去声部 七遇、入声部 入声十药；《词林正韵》入声 第十六部、仄声 第四部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
当	*	-	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
征	*	-	《平水韵》下平声部 八庚、下平声部 十蒸、上声部 四纸；《词林正韵》平声 第十一部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
抵	*	-	《平水韵》上声部 八荠、上声部 四纸；《词林正韵》仄声 第三部，韵部兼收（韵类两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
教	*	-	《平水韵》下平声部 三肴、去声部 十九效；《词林正韵》仄声 第八部、平声 第八部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
散	*	-	《平水韵》去声部 十五翰、上声部 十四旱；《词林正韵》仄声 第七部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
数	*	-	《平水韵》去声部 七遇、上声部 七麌、入声部 入声三觉、入声部 入声二沃；《词林正韵》入声 第十六部、仄声 第四部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
更	*	-	《平水韵》去声部 二十四敬、下平声部 八庚；《词林正韵》仄声 第十一部、平声 第十一部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
望	*	-	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
梦	*	-	《平水韵》上平声部 一东、去声部 一送；《词林正韵》仄声 第一部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
横	*	-	《平水韵》去声部 二十四敬、下平声部 八庚；《词林正韵》仄声 第十一部、平声 第十一部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
汉	*	-	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》仄声 第七部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
浑	*	-	《平水韵》上平声部 十三元、上声部 十三阮；《词林正韵》平声 第六部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
浪	*	-	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
溅	*	-	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》仄声 第七部、平声 第七部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
潜	*	-	《平水韵》去声部 二十九艳、下平声部 十四盐；《词林正韵》平声 第十四部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
爆	*	-	《平水韵》入声部 入声三觉、入声部 入声十药、去声部 十九效；《词林正韵》仄声 第八部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
相	*	-	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
看	*	-	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》仄声 第七部、平声 第七部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
离	*	-	《平水韵》去声部 八霁、去声部 四寘、上平声部 四支；《词林正韵》平声 第三部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
空	*	-	《平水韵》上平声部 一东、上声部 一董、去声部 一送；《词林正韵》仄声 第一部、平声 第一部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
缘	*	-	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》仄声 第七部、平声 第七部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
聚	*	-	《平水韵》去声部 七遇、上声部 七麌；《词林正韵》仄声 第四部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
胜	*	-	《平水韵》去声部 二十五径、下平声部 十蒸；《词林正韵》仄声 第十一部、平声 第十一部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
行	*	-	《平水韵》下平声部 七阳、去声部 二十三漾、去声部 二十四敬、下平声部 八庚；《词林正韵》平声 第二部、仄声 第十一部、平声 第十一部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
识	*	-	《平水韵》入声部 入声十三职、去声部 四寘；《词林正韵》仄声 第三部、入声 第十七部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
车	*	-	《平水韵》上平声部 六鱼、下平声部 六麻；《词林正韵》平声 第十部、平声 第四部，韵部兼收（韵类两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
轻	*	-	《平水韵》去声部 二十四敬、下平声部 八庚；《词林正韵》平声 第十一部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
过	*	-	《平水韵》去声部 二十一个、下平声部 五歌；《词林正韵》仄声 第九部、平声 第九部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
近	*	-	《平水韵》去声部 十三问、上声部 十二吻、去声部 四寘；《词林正韵》仄声 第六部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
远	*	-	《平水韵》上声部 十三阮、去声部 十四愿；《词林正韵》仄声 第七部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
采	*	-	《平水韵》去声部 十一队、上声部 十贿；《词林正韵》仄声 第五部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
里	*	-	《平水韵》去声部 四寘、上声部 四纸；《词林正韵》仄声 第三部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
重	*	-	《平水韵》上平声部 二冬、去声部 二宋、上声部 二肿；《词林正韵》仄声 第一部、平声 第一部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
长	*	-	《平水韵》下平声部 七阳、去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部、平声 第二部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
间	*	-	《平水韵》上平声部 十五删、去声部 十六谏；《词林正韵》仄声 第七部、平声 第七部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
除	*	-	《平水韵》去声部 六御、上平声部 六鱼；《词林正韵》平声 第四部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
难	*	-	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》仄声 第七部、平声 第七部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
雨	*	-	《平水韵》去声部 七遇、上声部 七麌；《词林正韵》仄声 第四部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
鹂	*	-	《平水韵》上平声部 八齐、上平声部 四支；《词林正韵》平声 第三部，韵部兼收（韵类两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
龙	*	-	《平水韵》上平声部 二冬、入声部 入声十四缉；《词林正韵》平声 第一部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字不居韵脚位，韵书未给出可据的读音约束，故不覆写。	engine_default
