# 云笺多音字索引 —— 覆盖闭合检查的候选集来源。
#
# 为什么需要它。破读词表的「覆盖完整」如果拿词表自己当候选集，就是循环论证：漏掉的字
# 既不在词表里、也不在候选集里，检查永远通过。所以候选集必须来自词表之外的独立判据，
# 而那个判据是韵书：**同一个字兼收于多个声部（调类两读）或多个韵部（韵类两读）**，即为
# 本表所收的多音字。往朗读名册加一首诗时，这张表会立刻指出它引入了哪些字还没有处置。
#
# 为什么随仓而不是查库。语料库是 600 MB 级的构建产物，测试不该依赖它是否已构建；而本表
# 是它的一个投影，逐行带出处，体积在百 KB 级。于是覆盖检查在一台既没有模型也没有语料库
# 的机器上仍然成立——与 audio、models 两个模块同一条「判定层不依赖重资源」的原则。
#
# 列：字 <TAB> 兼收
#   兼收   该字在两部韵书里的全部声部与韵部，即它被判为多音字的依据本身。
#
# 全表由下面这条 SQL 自 corpus.db 派生，可逐字复现：
#   SELECT rhyme_book, tone_raw, rhyme_group, character FROM rhyme;
# 底本为 charlesix59/chinese_word_rhyme 锁定版（corpus/sources.toml 记许可与摘要），
# underlying_work 为公有领域的《平水韵》与《词林正韵》（清 戈载，1821）。
#
# 派生时的实测数字与两条取舍，写在这里是因为它们会影响「覆盖完整」这句话的含义：
#   * 韵书共收 CJK 基本区单字若干，其中判为多音的 1815 个：调类两读 1406 个、
#     仅韵类两读 409 个。本表就是这 1815 个。
#   * **只收基本区**（U+4E00–U+9FFF）。另有 156 个基本区外条目（扩展区罕用字如 𫄧、㛀，以及一个全角逗号）被排除——
#     它们是真字，不是垃圾，但朗读名册的正文全部落在基本区，收进来只会让覆盖检查去追一批
#     不会出现的字。名册若将来收入扩展区用字，这一条要一起放宽。
#   * 排除 3 个非字条目：一个空格与一对方括号（另有一个全角逗号落在扩展区那一档里）。
#     **这些是上游韵书 JSON 的解析残留**，与扩展区罕用字性质不同，不该被当成字。
字	兼收
劳	《平水韵》去声部 二十号、下平声部 四豪；《词林正韵》仄声 第八部、平声 第八部
劼	《平水韵》入声部 入声八黠、入声部 入声四质
劾	《平水韵》入声部 入声十三职、去声部 六御、去声部 十一队
匐	《平水韵》入声部 入声一屋、入声部 入声十三职；《词林正韵》入声 第十七部、入声 第十五部
北	《平水韵》入声部 入声二沃、入声部 入声八黠、入声部 入声十三职、去声部 十一队；《词林正韵》入声 第十七部、入声 第十五部
匜	《平水韵》上平声部 四支、上声部 四纸
区	《平水韵》上平声部 七虞、下平声部 十一尤；《词林正韵》平声 第四部
卉	《平水韵》上声部 五尾、去声部 五未；《词林正韵》仄声 第三部
华	《平水韵》去声部 二十二祃、下平声部 六麻；《词林正韵》仄声 第十部、平声 第十部
卒	《平水韵》入声部 入声六月、入声部 入声四质；《词林正韵》入声 第十七部、入声 第十八部
单	《平水韵》下平声部 一先、去声部 十七霰、上声部 十六铣、上平声部 十四寒；《词林正韵》仄声 第七部、平声 第七部
占	《平水韵》去声部 二十九艳、下平声部 十四盐；《词林正韵》仄声 第十四部、平声 第十四部
卣	《平水韵》上声部 二十五有、下平声部 十一尤
却	《平水韵》入声部 入声十一陌、入声部 入声十药；《词林正韵》入声 第十六部
卵	《平水韵》上声部 二十哿、上声部 十四旱；《词林正韵》仄声 第七部、仄声 第九部
卷	《平水韵》下平声部 一先、上声部 十三阮、上声部 十六铣；《词林正韵》仄声 第七部、平声 第七部
卺	《平水韵》上声部 十二吻、上声部 四纸
厂	《平水韵》上声部 二十二养、上声部 十四旱；《词林正韵》仄声 第二部
厌	《平水韵》去声部 二十九艳、上声部 二十八琰、入声部 入声十六叶、入声部 入声十四缉、下平声部 十四盐；《词林正韵》入声 第十八部、仄声 第十四部
厚	《平水韵》上声部 二十五有、去声部 二十六宥；《词林正韵》仄声 第十二部
厝	《平水韵》去声部 七遇、入声部 入声十一陌、入声部 入声十药
厥	《平水韵》入声部 入声五物、入声部 入声六月；《词林正韵》入声 第十八部
去	《平水韵》去声部 六御、上声部 六语；《词林正韵》仄声 第四部
县	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》仄声 第七部
参	《平水韵》去声部 二十八勘、下平声部 十三覃、下平声部 十二侵；《词林正韵》平声 第十三部、平声 第十四部
叆	《平水韵》去声部 十一队、上声部 十贿
叇	《平水韵》去声部 十一队、上声部 十贿
反	《平水韵》上平声部 十三元、上声部 十三阮；《词林正韵》仄声 第七部
取	《平水韵》上声部 七麌、上声部 二十五有；《词林正韵》仄声 第十二部、仄声 第四部
叟	《平水韵》上声部 二十五有、下平声部 十一尤；《词林正韵》仄声 第十二部
句	《平水韵》上平声部 七虞、去声部 七遇、去声部 二十六宥、下平声部 十一尤；《词林正韵》仄声 第四部
只	《平水韵》入声部 入声十一陌、上平声部 四支、上声部 四纸；《词林正韵》仄声 第三部、入声 第十七部
台	《平水韵》上平声部 十灰、上平声部 四支；《词林正韵》平声 第五部
右	《平水韵》上声部 二十五有、去声部 二十六宥；《词林正韵》仄声 第十二部
号	《平水韵》去声部 二十号、下平声部 四豪；《词林正韵》仄声 第八部、平声 第八部
司	《平水韵》去声部 四寘、上平声部 四支；《词林正韵》平声 第三部
叹	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》仄声 第七部、平声 第七部
吁	《平水韵》上平声部 七虞、去声部 七遇；《词林正韵》平声 第四部
吃	《平水韵》入声部 入声五物、入声部 入声十二锡；《词林正韵》入声 第十七部、入声 第十八部
吊	《平水韵》入声部 入声十二锡、去声部 十八啸；《词林正韵》仄声 第八部
后	《平水韵》上声部 二十五有、去声部 二十六宥；《词林正韵》仄声 第十二部
吐	《平水韵》去声部 七遇、上声部 七麌；《词林正韵》仄声 第四部
向	《平水韵》去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部
吒	《词林正韵》仄声 第十部、平声 第十部
吓	《平水韵》去声部 二十二祃、入声部 入声十一陌；《词林正韵》入声 第十七部、仄声 第十部
吟	《平水韵》去声部 二十七沁、下平声部 十二侵；《词林正韵》平声 第十三部
否	《平水韵》上声部 七麌、上声部 二十五有、上声部 四纸；《词林正韵》仄声 第三部、仄声 第十二部、仄声 第四部
听	《平水韵》下平声部 九青、去声部 二十五径、上声部 十二吻、上平声部 十二文；《词林正韵》仄声 第十一部、平声 第十一部
吭	《平水韵》下平声部 七阳、去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部、平声 第二部
吮	《平水韵》上声部 十一轸、上声部 十六铣；《词林正韵》仄声 第六部
吹	《平水韵》去声部 四寘、上平声部 四支；《词林正韵》仄声 第三部、平声 第三部
吼	《平水韵》上声部 二十五有、去声部 二十六宥；《词林正韵》仄声 第十二部
吾	《平水韵》上平声部 七虞、下平声部 六麻；《词林正韵》平声 第四部
呀	《平水韵》去声部 二十二祃、下平声部 六麻；《词林正韵》平声 第十部
告	《平水韵》去声部 二十号、入声部 入声二沃；《词林正韵》仄声 第八部
呐	《平水韵》入声部 入声九屑、入声部 入声六月
呕	《平水韵》上平声部 七虞、上声部 二十五有、下平声部 十一尤；《词林正韵》仄声 第十二部
员	《平水韵》下平声部 一先、去声部 十三问、上平声部 十二文；《词林正韵》平声 第七部
呜	《平水韵》上平声部 七虞、上声部 七麌；《词林正韵》平声 第四部
呱	《平水韵》上平声部 七虞、下平声部 六麻；《词林正韵》平声 第十部、平声 第四部
呵	《平水韵》去声部 二十一个、下平声部 五歌；《词林正韵》平声 第九部
呼	《平水韵》上平声部 七虞、去声部 二十一个；《词林正韵》平声 第四部
呿	《平水韵》去声部 六御、上平声部 六鱼
咀	《平水韵》上声部 六语、上平声部 六鱼；《词林正韵》仄声 第四部
咄	《平水韵》入声部 入声七曷、入声部 入声六月；《词林正韵》入声 第十八部
和	《平水韵》去声部 二十一个、下平声部 五歌；《词林正韵》仄声 第九部、平声 第九部
咎	《平水韵》上声部 二十五有、下平声部 四豪；《词林正韵》仄声 第十二部
咥	《平水韵》入声部 入声九屑、入声部 入声四质、去声部 四寘
咬	《平水韵》下平声部 三肴、上声部 十八巧；《词林正韵》仄声 第八部、平声 第八部
咮	《平水韵》上平声部 七虞、去声部 七遇、去声部 二十六宥；《词林正韵》仄声 第十二部
咺	《平水韵》上平声部 十三元、上声部 十三阮
咻	《平水韵》上声部 七麌、下平声部 十一尤；《词林正韵》平声 第十二部
咽	《平水韵》下平声部 一先、入声部 入声九屑、去声部 十七霰；《词林正韵》仄声 第七部、平声 第七部、入声 第十八部
哄	《平水韵》去声部 一送、去声部 三绛；《词林正韵》仄声 第一部
哆	《平水韵》上声部 二十一马、上声部 二十哿、下平声部 六麻、去声部 四寘、上声部 四纸；《词林正韵》仄声 第九部
哇	《平水韵》上平声部 九佳、下平声部 六麻；《词林正韵》平声 第十部
哉	《平水韵》上平声部 十灰；《词林正韵》平声 第五部、入声 第十八部
哑	《平水韵》上声部 二十一马、去声部 二十二祃、入声部 入声十一陌、下平声部 六麻；《词林正韵》入声 第十七部、仄声 第十部、平声 第十部
哕	《平水韵》去声部 九泰、入声部 入声六月、去声部 八霁
哨	《平水韵》下平声部 二萧、去声部 十八啸；《词林正韵》仄声 第八部
哪	《平水韵》下平声部 五歌；《词林正韵》仄声 第九部、平声 第九部
唅	《平水韵》去声部 二十八勘、下平声部 十三覃
唈	《平水韵》入声部 入声十五合、入声部 入声十四缉
唉	《平水韵》上平声部 十灰、上声部 四纸；《词林正韵》平声 第五部
唧	《平水韵》入声部 入声十三职、入声部 入声四质；《词林正韵》入声 第十七部
售	《平水韵》去声部 二十六宥、下平声部 十一尤；《词林正韵》仄声 第十二部
唯	《平水韵》上平声部 四支、上声部 四纸；《词林正韵》平声 第三部
唶	《平水韵》去声部 二十二祃、入声部 入声十一陌
啁	《平水韵》下平声部 三肴、下平声部 十一尤；《词林正韵》平声 第十二部
啄	《平水韵》入声部 入声一屋、入声部 入声三觉；《词林正韵》入声 第十六部
啐	《平水韵》入声部 入声四质、去声部 十一队、去声部 十卦
啖	《平水韵》上声部 二十七感、去声部 二十八勘；《词林正韵》仄声 第十四部
啴	《平水韵》下平声部 一先、上声部 十六铣、上平声部 十四寒
喁	《平水韵》上平声部 七虞、上平声部 二冬；《词林正韵》平声 第一部
喂	《平水韵》上声部 十贿、去声部 四寘
善	《平水韵》去声部 十七霰、上声部 十六铣；《词林正韵》仄声 第七部
喊	《平水韵》上声部 二十七感、上声部 二十九豏；《词林正韵》仄声 第十四部
喋	《平水韵》入声部 入声十七洽、入声部 入声十五合、入声部 入声十六叶；《词林正韵》入声 第十八部
喌	《平水韵》入声部 入声一屋、下平声部 十一尤
喑	《平水韵》去声部 二十七沁、去声部 二十八勘、下平声部 十二侵；《词林正韵》仄声 第十三部、平声 第十三部
喝	《平水韵》入声部 入声七曷、去声部 十卦；《词林正韵》入声 第十八部
喟	《平水韵》去声部 十卦、去声部 四寘；《词林正韵》仄声 第五部
喢	《平水韵》入声部 入声十七洽、入声部 入声十六叶
喤	《平水韵》下平声部 七阳、下平声部 八庚
喷	《平水韵》上平声部 十三元、去声部 十四愿；《词林正韵》仄声 第六部、平声 第六部
喾	《平水韵》入声部 入声一屋、入声部 入声二沃
嗃	《平水韵》下平声部 三肴、入声部 入声三觉、入声部 入声二沃、入声部 入声十药、去声部 十九效
嗌	《平水韵》入声部 入声十一陌、去声部 十卦
嗺	《平水韵》上平声部 四支、上声部 四纸
嗾	《平水韵》上声部 二十五有、去声部 二十六宥、入声部 入声一屋；《词林正韵》入声 第十五部
嘘	《平水韵》去声部 六御、上平声部 六鱼；《词林正韵》平声 第四部
嘹	《平水韵》下平声部 二萧、去声部 十八啸；《词林正韵》仄声 第八部、平声 第八部
噀	《平水韵》去声部 十七霰、去声部 十四愿
噆	《平水韵》上声部 二十七感、入声部 入声十五合
噞	《平水韵》去声部 二十九艳、上声部 二十八琰、下平声部 十四盐
噢	《平水韵》上声部 七麌、入声部 入声一屋
噤	《平水韵》去声部 二十七沁、上声部 二十六寝；《词林正韵》仄声 第十三部
噫	《平水韵》去声部 十卦、上平声部 四支；《词林正韵》平声 第三部
噭	《平水韵》入声部 入声十二锡、去声部 十八啸
嚣	《平水韵》下平声部 二萧、下平声部 四豪；《词林正韵》平声 第八部
回	《平水韵》去声部 十一队、上平声部 十灰；《词林正韵》平声 第三部
囤	《平水韵》上平声部 十三元、上声部 十三阮；《词林正韵》仄声 第六部、平声 第六部
囷	《平水韵》上平声部 十一真、上声部 十一轸；《词林正韵》平声 第六部
国	《平水韵》入声部 入声一屋、入声部 入声十三职；《词林正韵》入声 第十七部、入声 第十五部
囿	《平水韵》去声部 二十六宥、入声部 入声一屋；《词林正韵》仄声 第十二部
圃	《平水韵》去声部 七遇、上声部 七麌；《词林正韵》仄声 第四部
圈	《平水韵》上平声部 十三元、上声部 十三阮、去声部 十四愿；《词林正韵》仄声 第七部、平声 第七部
在	《平水韵》去声部 十一队、上声部 十贿；《词林正韵》仄声 第五部
圬	《平水韵》上平声部 七虞、去声部 七遇
圮	《平水韵》上平声部 四支、上声部 四纸
坋	《平水韵》去声部 十三问、上声部 十二吻
坏	《平水韵》去声部 十卦、上平声部 十灰；《词林正韵》仄声 第五部
坐	《平水韵》去声部 二十一个、上声部 二十哿；《词林正韵》仄声 第九部
块	《平水韵》去声部 十一队、去声部 十卦、上声部 十贿；《词林正韵》仄声 第三部、仄声 第五部
坛	《平水韵》上平声部 十四寒；《词林正韵》平声 第七部、平声 第十四部
坟	《平水韵》上声部 十二吻、上平声部 十二文；《词林正韵》平声 第六部
坷	《平水韵》去声部 二十一个、上声部 二十哿；《词林正韵》仄声 第九部
坻	《平水韵》上声部 八荠、上平声部 四支、上声部 四纸；《词林正韵》仄声 第三部
垆	《平水韵》上平声部 七虞、上平声部 六鱼；《词林正韵》平声 第四部
